your name. (movie)	Amuse
A Lull in the Sea (TV)	Animax
Slam Dunk (TV)	Toei Animation
Doraemon the Movie: Nobita and the Steel Troops: The New Age	Asatsu-DK
Full Moon o Sagashite (TV)	NAS
Mobile Suit Zeta Gundam (TV)	Nagoya Broadcasting Network
Psycho-Pass (TV)	Dentsu Inc.
Sayonara, Zetsubou-Sensei (TV)	Starchild Records
FLCL (OAV)	FLCL Production Committee
(The) Story of Saiunkoku Second Series (TV 2)	NHK
(The) Ancient Magus' Bride (TV)	Flying Dog
Case Closed: Captured in Her Eyes (movie)	Kyokuichi Tokyo Movie Shinsha
Case Closed: The Last Magician of the Century (movie)	Detective Conan Production Committee
(The) Secret World of Arrietty (movie)	Dentsu Inc.
Genshiken (TV)	GENCO
Miss Kobayashi's Dragon Maid (TV)	ABC Animation
Touch (TV)	Asatsu-DK
Kyo kara Maoh! 3rd Series (TV)	NHK
Black Lagoon: Roberta's Blood Trail (OAV)	Black Lagoon Production Team
Genshiken 2 (TV)	GENCO
Log Horizon (TV)	NHK
Big Windup! Season 2 (TV)	A-1 Pictures
Case Closed: Countdown to Heaven (movie)	Kyokuichi Tokyo Movie Shinsha
Kaleido Star: Legend of Phoenix - Layla Hamilton Story (OAV)	GONZO
Saint Seiya: The Hades Chapter - Sanctuary (OAV)	unknown
Junjō Romantica (TV)	Frontier Works
Aria - The Natural (TV)	ARIA Company
Claymore (TV)	avex mode
Zoku Sayonara Zetsubō Sensei (TV)	Starchild Records
Non Non Biyori Repeat (TV)	Janice Williams
Giant Robo (OAV)	Amuse Video
Legend of the Galactic Heroes: Spiral Labyrinth (OAV)	Kitty Films
Nisemonogatari (TV)	Aniplex
Ace of Diamond: Second Season (TV)	unknown
Fruits Basket (TV)	Furuba Production Committee
From Up On Poppy Hill (movie)	Buena Vista Home Entertainment / Disney
Perfect Blue (movie)	Rex Entertainment
When They Cry - Higurashi (TV)	"When Cicadas Cry" Production Committee
Kimagure Orange Road (TV)	Pierrot
Birdy the Mighty Decode:02 (TV)	Kouichirou Natsume
Soul Eater (TV)	BONES
Penguindrum (TV)	Mainichi Broadcasting System
Baby Blue (movie)	Studio 4°C
Hanada Shōnen-shi (TV)	Nippon Television Network
Full Metal Panic! (TV)	Fuji Television Network
Haré+Guu Deluxe (OAV)	Bandai Visual
xxxHOLiC: Rō (OAV)	unknown
Emma: A Victorian Romance (TV)	Enterbrain
Macross Zero (OAV)	Bandai Visual
(The) Garden of Sinners/recalled out summer (movie)	Aniplex
Space Battleship Yamato 2199 (movie)	AIC
Mobile Suit Gundam: The Origin (OAV)	Sunrise
(The) Tatami Galaxy (TV)	Emiko Uchimura
Chihayafuru 2 (TV)	Nippon Television Network
One Piece "3D2Y" Ace no Shi wo Koete! Luffy Nakama to no Chikai (special)	Fuji Television Network
Tamayura: Sotsugyō Shashin (movie series)	Animatic
(The) Vision of Escaflowne (TV)	Sunrise
Mobile Suit Gundam: Iron-Blooded Orphans (TV 2)	Mainichi Broadcasting System
Magical Girl Lyrical Nanoha A's (TV)	Nanoha A's Project
Fairy Tail Zero (TV)	unknown
(The) Eccentric Family (TV)	Bandai Visual
Read or Die (OAV)	Aniplex
Fate/stay night: Heaven's Feel I. presage flower (movie)	Aniplex
Durarara!! (TV)	Aniplex
Broken Blade (movie series)	Bandai Visual
Yu Yu Hakusho: Ghost Files (TV)	Fuji Television Network
Fate/stay night: Unlimited Blade Works (TV 2)	ufotable
Ga-Rei-Zero (TV)	AIC
Macross Plus Movie Edition	Bandai Visual
(The) Disastrous Life of Saiki K. (TV 2)	unknown
Kaiji (TV)	D.N. Dream Partners
Gintama Season 4 (TV 6/2017)	unknown
Black Butler: Book of Murder (OAV)	Aniplex
Tsubasa: Spring Thunder (OAV)	Kodansha
(The) Story of Saiunkoku (TV)	NHK
Crest of the Stars (TV)	Bandai Visual
Urusei Yatsura: Beautiful Dreamer (movie)	Kitty Films
Gintama (OAV)	unknown
On Your Mark (movie)	Real Cast Inc.
Hanamonogatari (TV)	Aniplex
Toward the Terra (TV)	Aniplex
Genshiken (OAV)	unknown
Mobile Suit Gundam Seed (TV)	Asatsu-DK
KONOSUBA - God's blessing on this wonderful world! 2 (TV)	unknown
Mind Game (movie)	Asmik Ace Entertainment, Inc.
Goku Sayonara Zetsubō Sensei (OAV)	unknown
Daicon films (special)	DAICON 3 Jikkou Iinkai
Saga of Tanya the Evil (TV)	unknown
Baby Steps (TV 2)	unknown
Redline (movie)	Kiyotaka Ninomiya
City Hunter 2 (TV)	Shueisha
Big Windup! (TV)	Jun Katou
Initial D: Second Stage (TV)	Fuji Television Network
Jormungand Perfect Order (TV)	Geneon Universal Entertainment
K-ON! (movie)	K-On! Movie Committee
InuYasha: The Final Act (TV)	Shogakukan-Shueisha Productions
One Piece Film Z (movie)	Chihiro Kameyama
